Data,NE,NW,SE,SW
43223,5.802702703,3.780582524,3.747619048,8.708783784
43224,0.35,0.366666667,3.355555556,0.083333333
43225,,0,0,0
43226,,0.55,0,0
43227,,0,5.589473684,0.5
43228,2.25,6.166666667,11.496875,7.771
43229,2.24,4.085365854,2.705714286,5.113157895
43230,0.91,4.157142857,2.245,6.566129032
43231,8.245833333,5.504166667,6.361403509,5.648039216
43232,,1.614285714,0.6,2.233333333
43233,0.1,0,1.940740741,0
43234,2.289361702,0.663636364,0.843243243,0.557692308
43235,0.648148148,2.531683168,1.727,4.2875
43236,6.552808989,4.654639175,15.14392523,15.31899441
43237,4.546341463,2.681481481,18.05140187,13.26460674
43238,3.512280702,2.234615385,3.323,4.047272727
43239,1.94,0,1.046153846,0.171428571
43240,,0.05,0.333333333,0
43241,1.178571429,0.658333333,1.636666667,0.44
43242,6.698701299,2.796363636,2.080357143,2.857142857
43243,0.3,0.066666667,4.362068966,2.392857143
43244,0.588888889,0.38,1.607142857,0
43245,7.077906977,2.724590164,4.517910448,2.87826087
43246,18.06949153,6.785057471,5.709836066,8.161538462
43247,0.525,5.868085106,7.038709677,3.724
43248,,0,0,3.873684211
43249,0,0.7,2.765,4.057894737
43250,34.7,3.993442623,1.438888889,2.52244898
43251,0.1,0.64,3.465384615,4.991666667
43252,6.009230769,6.586577181,4.897560976,6.048275862
43253,2.264102564,6.76746988,9.25625,11.25923077
43254,3.836363636,2.4625,3.5,9.3
43255,1.1625,0.573333333,2.957894737,1.889230769
43256,0.76,0.526666667,3.459574468,2.377419355
43257,,0,0.72,0
43258,0.166666667,0,0.533333333,0.3
43259,20.1,5.233333333,5.1,5.523809524
43260,,3.314285714,4.491666667,6.583636364
43261,1.02,6.58258427,6.146590909,5.031007752
43262,3.342682927,1.5,4.75,10.0527027
43263,1.55625,0.25625,7.041836735,3.697777778
43264,4.460606061,1.440983607,9.55308642,1.369014085
43265,0.814285714,0.071428571,4.905,1.871875
43266,,0,0.6,0.15
43267,,0,0.275,0
43268,0.422222222,3,1.702941176,2.832352941
43269,3.675,0.680769231,3.512280702,0.425714286
43270,0.066666667,0.0375,0.4,0
43271,1.4,0.725,,1.766666667
43272,3.722988506,4.638181818,10.51214953,7.08908046
43273,1.2,5.003738318,1.959016393,1.806015038
43274,4.319444444,3.723188406,5.739814815,4.193641618
43275,7.110989011,4.720437956,6.325688073,4.944505495
43276,9.458695652,7.495867769,3.896116505,3.489473684
43277,2.159701493,2.870886076,3.418518519,8.171597633
43278,1.69375,1.557142857,16.16960784,8.39858156
43279,0.733333333,3.383333333,4.660416667,7.236734694
43280,0.18,0,3.711538462,1.325925926
43281,0.58,0.591304348,0.508333333,0.283333333
43282,3.536764706,1.190909091,1.51097561,0.878688525
43283,7.816853933,1.015151515,2.236111111,0.33
43284,0.812,0.45,0.625,0.26
